arm,games,wins,draws,losses,point_rate,mean_margin,mean_self_cash,mean_delta_points,mean_delta_margin,changed_decisions_vs_b1,changed_field_decisions_vs_b1,all_trajectory_identical_games,overlay_evaluations,overlay_changes,overlay_eligible
B1,32,20,8,4,0.75,-61.3125,95528.1875,0.0,0.0,0,0,0,0,0,0
wool_gate_open,32,18,0,14,0.5625,-261.8125,95006.75,-0.1875,-200.5,830,120,0,0,0,0
final_response,32,20,8,4,0.75,-61.3125,95528.1875,0.0,0.0,0,0,32,582,0,342
combined,32,18,0,14,0.5625,-261.8125,95006.75,-0.1875,-200.5,830,120,0,558,0,318
