candidate,anchor,seed,seat,score,our_cash,opponent_cash,margin,statuses,states,elapsed_seconds,inference_p99_seconds,inference_max_seconds,replay,replay_sha256,diagnostics,diagnostics_sha256,first_land_record,first_animal_yield_record,first_animal_harvest_record,first_crop_harvest_record,successful_feed_actions,successful_care_actions,actual_harvest_units_json,actual_sell_units_json,animal_exit_count,state192_land,state192_crops,state192_animals,final_land,final_crops,final_animals,first_divergence_record,lifecycle_json
round8_spatial_hybrid_v6,v122,2026102201,0,0.0,16117.0,122757.0,-106640.0,DONE/DONE,720,38.650625200010836,0.03435868400498296,0.639841299969703,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102201_seat_0.json.gz,f9d9d425383866d83e0709f5ce505351f3b1163cb43ca38248e17da3dd569621,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v122_seed_2026102201_seat_0.json.gz,4462e5e82afa8344c610ef80de24a62fd5f59b0f4ae699a4716d7e608c9408f8,,144,147,113,109,111,"{""MILK"": 71, ""STRAWBERRY"": 8, ""WHEAT"": 4, ""WOOL"": 60}","{""FERTILIZER"": 63, ""MILK"": 71, ""STRAWBERRY"": 8, ""WHEAT"": 8, ""WOOL"": 68}",0,1,6,4,1,0,4,2,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":113,""successful_feed_actions"":109,""successful_care_actions"":111,""actual_harvest_units"":{""WHEAT"":4,""WOOL"":60,""MILK"":71,""STRAWBERRY"":8},""actual_sell_units"":{""WHEAT"":8,""FERTILIZER"":63,""WOOL"":68,""MILK"":71,""STRAWBERRY"":8},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":6,""mature_crop_cells"":3,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":3307.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":3,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":16117.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v122,2026102201,1,0.0,10273.0,134922.0,-124649.0,DONE/DONE,720,41.227498000022024,0.03775156398536638,0.7249692999757826,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102201_seat_1.json.gz,e58383d6fece0dce05c2288f9ae2a0c39902a27db26250df756ec8ee67a1828e,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v122_seed_2026102201_seat_1.json.gz,099f8a28c43595e467581da5f4aeb092d89b3ed6b98cf2b9eb2a5665a2e25fe1,220,144,147,108,107,107,"{""MILK"": 64, ""WHEAT"": 23, ""WOOL"": 66}","{""FERTILIZER"": 67, ""MILK"": 70, ""WHEAT"": 44, ""WOOL"": 66}",0,1,2,4,3,2,4,2,"{""first_land_record"":220,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":108,""successful_feed_actions"":107,""successful_care_actions"":107,""actual_harvest_units"":{""WHEAT"":23,""WOOL"":66,""MILK"":64},""actual_sell_units"":{""WHEAT"":44,""FERTILIZER"":67,""WOOL"":66,""MILK"":70},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":2,""mature_crop_cells"":2,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":3079.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":2,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":3,""crop_cells"":2,""mature_crop_cells"":2,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":10273.0,""shed"":{""WHEAT"":2,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":2,""SHEEP"":7},""carried_wheat"":2}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v122,2026102202,0,0.0,23793.0,127711.0,-103918.0,DONE/DONE,720,40.050557899987325,0.0499534599867184,0.7842658999725245,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102202_seat_0.json.gz,e08b21c11cfe3ebf6c3d34e38df65779775713221b6f82866eed580ba3254bef,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v122_seed_2026102202_seat_0.json.gz,0a477e075bc745e197d3c76b975edead5b6e13c643dba525263ac33441362eb4,221,144,147,104,129,128,"{""MELON"": 5, ""MILK"": 92, ""WHEAT"": 7, ""WOOL"": 63}","{""FERTILIZER"": 74, ""MELON"": 5, ""MILK"": 92, ""WHEAT"": 20, ""WOOL"": 67}",0,1,2,4,2,0,5,2,"{""first_land_record"":221,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":104,""successful_feed_actions"":129,""successful_care_actions"":128,""actual_harvest_units"":{""WHEAT"":7,""WOOL"":63,""MILK"":92,""MELON"":5},""actual_sell_units"":{""WHEAT"":20,""FERTILIZER"":74,""WOOL"":67,""MILK"":92,""MELON"":5},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":2,""mature_crop_cells"":2,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":3236.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":3,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":0,""mature_crop_cells"":0,""animals"":5,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":23793.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":3,""SHEEP"":9},""carried_wheat"":0}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v122,2026102202,1,0.0,19409.0,139020.0,-119611.0,DONE/DONE,720,39.825702300004195,0.04214976596995259,0.5946779000223614,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v122\seed_2026102202_seat_1.json.gz,964ce21a60daa55707262175acc0580de8d7ddf0f97dc52cf64f9a83ba9cf9d6,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v122_seed_2026102202_seat_1.json.gz,184afb0eec77b08f987d3ba03b50bf73faa6398cbe7b27d31885d1df3d9b7b5c,,144,146,86,105,109,"{""MILK"": 72, ""STRAWBERRY"": 5, ""WHEAT"": 17, ""WOOL"": 62}","{""FERTILIZER"": 61, ""MILK"": 72, ""STRAWBERRY"": 5, ""WHEAT"": 16, ""WOOL"": 66}",0,1,7,4,1,0,4,2,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":146,""first_crop_harvest_record"":86,""successful_feed_actions"":105,""successful_care_actions"":109,""actual_harvest_units"":{""WHEAT"":17,""WOOL"":62,""MILK"":72,""STRAWBERRY"":5},""actual_sell_units"":{""WHEAT"":16,""FERTILIZER"":61,""WOOL"":66,""MILK"":72,""STRAWBERRY"":5},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":4,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":2909.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":3,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":19409.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v124,2026102201,0,0.0,17218.0,124673.0,-107455.0,DONE/DONE,720,36.2193769000005,0.03714203400071711,0.3719462000299245,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102201_seat_0.json.gz,ddd85f4f05f695868941cc0f9d34f2406f6e42743dc7f9044a95e56bd4a6593a,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v124_seed_2026102201_seat_0.json.gz,83dc848239fcbf55ab4020fa12c40d0cb7002384952612baaf99c00f0b13d334,,144,147,113,109,112,"{""MILK"": 72, ""STRAWBERRY"": 8, ""WHEAT"": 4, ""WOOL"": 60}","{""FERTILIZER"": 66, ""MILK"": 72, ""STRAWBERRY"": 8, ""WHEAT"": 8, ""WOOL"": 68}",0,1,6,4,1,0,4,2,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":113,""successful_feed_actions"":109,""successful_care_actions"":112,""actual_harvest_units"":{""WHEAT"":4,""WOOL"":60,""MILK"":72,""STRAWBERRY"":8},""actual_sell_units"":{""WHEAT"":8,""FERTILIZER"":66,""WOOL"":68,""MILK"":72,""STRAWBERRY"":8},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":6,""mature_crop_cells"":3,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":3307.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":3,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":17218.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v124,2026102201,1,0.0,10771.0,134605.0,-123834.0,DONE/DONE,720,37.569806099985726,0.04414005199563696,0.48788540001260117,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102201_seat_1.json.gz,05a7498082fe326261d1342319497adb70ab376de9650e112ecbb6179e1c90af,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v124_seed_2026102201_seat_1.json.gz,ad65d14045dddc880575b12e28547d1d74087913b9971cf07e8c39a44284ce78,220,144,147,108,107,109,"{""MILK"": 69, ""STRAWBERRY"": 3, ""WHEAT"": 26, ""WOOL"": 66}","{""FERTILIZER"": 64, ""MILK"": 72, ""STRAWBERRY"": 3, ""WHEAT"": 32, ""WOOL"": 66}",0,1,2,4,3,4,4,2,"{""first_land_record"":220,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":108,""successful_feed_actions"":107,""successful_care_actions"":109,""actual_harvest_units"":{""WHEAT"":26,""WOOL"":66,""MILK"":69,""STRAWBERRY"":3},""actual_sell_units"":{""WHEAT"":32,""FERTILIZER"":64,""WOOL"":66,""MILK"":72,""STRAWBERRY"":3},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":2,""mature_crop_cells"":2,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":3079.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":2,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":3,""crop_cells"":4,""mature_crop_cells"":4,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":10771.0,""shed"":{""WHEAT"":4,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":2,""SHEEP"":7},""carried_wheat"":3}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v124,2026102202,0,0.0,24264.0,137153.0,-112889.0,DONE/DONE,720,37.040067499969155,0.04682837598025804,0.6460496999789029,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102202_seat_0.json.gz,e36691b301e483d842b5b9f4eec62a1ba3dfec151fdbdcd93de404e89b81417b,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v124_seed_2026102202_seat_0.json.gz,043fdc120d06ad89ed73a47455c85e63d244f6662e4683bfd863962617670bf0,221,144,147,104,128,127,"{""MILK"": 88, ""WHEAT"": 13, ""WOOL"": 63}","{""FERTILIZER"": 85, ""MILK"": 91, ""WHEAT"": 39, ""WOOL"": 67}",0,1,2,4,2,1,5,2,"{""first_land_record"":221,""first_animal_yield_record"":144,""first_animal_harvest_record"":147,""first_crop_harvest_record"":104,""successful_feed_actions"":128,""successful_care_actions"":127,""actual_harvest_units"":{""WHEAT"":13,""WOOL"":63,""MILK"":88},""actual_sell_units"":{""WHEAT"":39,""FERTILIZER"":85,""WOOL"":67,""MILK"":91},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":2,""mature_crop_cells"":2,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":3236.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":3,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":2,""crop_cells"":1,""mature_crop_cells"":1,""animals"":5,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":24264.0,""shed"":{""WHEAT"":2,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":3,""SHEEP"":9},""carried_wheat"":0}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
round8_spatial_hybrid_v6,v124,2026102202,1,0.0,19727.0,137628.0,-117901.0,DONE/DONE,720,37.227225699985866,0.03634106797631831,0.5279141999781132,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\replays\v124\seed_2026102202_seat_1.json.gz,6c02369ccf065f57f437f2ecefdcd05e86dbef05ff971ec6889c1ba5731f3b56,experiments\round8_execution_reset_20260922\phase_c_spatial\pilot_hybrid_v6\diagnostics\v124_seed_2026102202_seat_1.json.gz,6e9fcf03983375f65555844c26c62bceb349712e425d2f7c3f1f0f90a4f8774a,,144,146,86,105,109,"{""MILK"": 72, ""STRAWBERRY"": 5, ""WHEAT"": 17, ""WOOL"": 62}","{""FERTILIZER"": 63, ""MILK"": 72, ""STRAWBERRY"": 5, ""WHEAT"": 16, ""WOOL"": 66}",0,1,7,4,1,0,4,2,"{""first_land_record"":null,""first_animal_yield_record"":144,""first_animal_harvest_record"":146,""first_crop_harvest_record"":86,""successful_feed_actions"":105,""successful_care_actions"":109,""actual_harvest_units"":{""WHEAT"":17,""WOOL"":62,""MILK"":72,""STRAWBERRY"":5},""actual_sell_units"":{""WHEAT"":16,""FERTILIZER"":63,""WOOL"":66,""MILK"":72,""STRAWBERRY"":5},""sell_unit_limit"":""exact from pre-market shed unless the same item was bought earlier in the market sequence"",""sell_items_with_prior_buy_ambiguity"":[""WHEAT""],""animal_exits"":[],""snapshots"":{""192"":{""land_quadrants"":1,""crop_cells"":7,""mature_crop_cells"":4,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":12,""cash"":2909.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":3,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0},""719"":{""land_quadrants"":1,""crop_cells"":0,""mature_crop_cells"":0,""animals"":4,""animals_fed_today"":0,""animal_product_units_on_tiles"":0,""cash"":19727.0,""shed"":{""WHEAT"":0,""CARROT"":0,""TOMATO"":0,""STRAWBERRY"":0,""MELON"":0,""EGG"":0,""MILK"":0,""WOOL"":0,""FERTILIZER"":0,""GOOSE"":0,""COW"":0,""SHEEP"":1},""carried_wheat"":0}},""first_action_divergence"":{""available"":true,""record"":2,""input_state_step"":1,""candidate"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""HIRE""],[""BUY_ANIMAL"",""COW"",1],[""BUY_ANIMAL"",""SHEEP"",3]]},""round6_sequence_bc_v1"":{""farmer"":[""PICKUP"",""COW"",1],""hands"":[],""market"":[[""SELL"",""WHEAT"",1]]}}}"
