arm,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin,mean_delta_points_vs_b1,mean_delta_margin_vs_b1,loss_to_win,win_to_loss,tie_to_win,tie_to_loss,changed_games_vs_b1,changed_decisions_vs_b1,changed_field_decisions_vs_b1,changed_market_decisions_vs_b1,opponent_changed_decisions_vs_b1,trajectory_identical_games
B1,32,18,6,8,0.6875,81826.3125,81771.6875,54.625,0.0,0.0,0,0,0,0,0,0,0,0,0,0
cw1_conditional_wool,32,18,6,8,0.6875,81826.3125,81771.6875,54.625,0.0,0.0,0,0,0,0,0,0,0,0,0,32
wool_gate_open_control,32,20,12,0,0.625,81532.875,81280.625,252.25,-0.0625,197.625,2,6,6,2,32,1320,166,1184,770,0
