arm,seed,pairs,mean_delta_points,mean_delta_self_cash,mean_delta_opp_cash,mean_delta_margin
cw1_conditional_wool,532609241,8,0.0,0.0,0.0,0.0
cw1_conditional_wool,532609242,8,0.0,0.0,0.0,0.0
cw1_conditional_wool,532609243,8,0.0,0.0,0.0,0.0
cw1_conditional_wool,532609244,8,0.0,0.0,0.0,0.0
wool_gate_open_control,532609241,8,0.375,-649.0,-2255.0,1606.0
wool_gate_open_control,532609242,8,-0.375,-119.0,-190.0,71.0
wool_gate_open_control,532609243,8,-0.375,-405.75,492.0,-897.75
wool_gate_open_control,532609244,8,0.125,0.0,-11.25,11.25
