arm,opponent_id,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin
B1,B1,2,0,0,2,0.5,114627.0,114627.0,0.0
NO_CHANGE,B1,2,0,0,2,0.5,114627.0,114627.0,0.0
