arm,opponent_family,games,wins,draws,losses,mean_score,mean_margin,mean_paired_score_delta_vs_c0
c0,qeinstein_moev2,2,2,0,0,1.0,20416.0,0.0
b_simple,qeinstein_moev2,2,2,0,0,1.0,20117.0,0.0
b_learned,qeinstein_moev2,2,2,0,0,1.0,20412.0,0.0
a_baseline,qeinstein_moev2,2,0,0,2,0.0,-181810.0,-1.0
a_learned,qeinstein_moev2,2,0,0,2,0.0,-136485.0,-1.0
independent_bc,qeinstein_moev2,2,0,0,2,0.0,-127525.5,-1.0
