opponent_band,n,wins,losses,win_rate,wilson_low,wilson_high,mean_margin
under1500,58,51,7,0.8793103448275862,0.7712064595403911,0.9402903395175928,14895.827586206897
1500_1599,39,23,16,0.5897435897435898,0.43418622882896973,0.7292068999927483,-2635.6153846153848
1600_1699,40,19,21,0.475,0.329354701126789,0.6250263789330753,-908.775
1700plus,20,6,14,0.3,0.1454772448676043,0.5189728183535235,1425.45
1500plus,99,48,51,0.48484848484848486,0.3888222679365345,0.5820066172776421,-1117.4848484848485
1600plus,60,25,35,0.4166666666666667,0.30064278558341617,0.5427191897735989,-130.7
all,157,99,58,0.6305732484076433,0.5527994644956893,0.7021099369771409,4798.261146496815
