arm,opponent_family,games,wins,draws,losses,mean_score,mean_margin,mean_paired_score_delta_vs_c0
c0,qeinstein_moev2,4,3,0,1,0.75,11610.5,0.0
c0,mooman_e052a,4,3,0,1,0.75,742.0,0.0
c0,smart_farm,4,2,0,2,0.5,6030.5,0.0
c0,souvik_v4,4,4,0,0,1.0,4226.5,0.0
c0,ggmljs_v16,4,4,0,0,1.0,39781.25,0.0
c0,robriculture_lean_feed,4,4,0,0,1.0,101242.75,0.0
