arm,opponent,seed,seat,result,score,self_cash,opponent_cash,margin,agent_sha256,opponent_sha256,replay,replay_sha256,route_metrics_json
P1M0,B1,712609241,0,L,0.0,9814.0,138347.0,-128533.0,bc805d9e961e6043403bbe05f8a2c3435c39fa22c6f6c56cc2521ee9915fcbfc,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v3/replays/P1M0/B1/seed_712609241_seat_0.json.gz,7cdda038e3e8338d6ef09d538b4bdfe7f358548e293af8f0506878af7e23124b,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":45,""STRAWBERRY"":93},""peak_crop_count"":{""WHEAT"":18,""STRAWBERRY"":45},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":7},""animals"":{},""weeds"":1},""5"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""6"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""7"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""8"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":17},""animals"":{},""weeds"":1},""9"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":5},""animals"":{},""weeds"":5},""10"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":16},""animals"":{},""weeds"":1},""11"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":10},""animals"":{},""weeds"":3},""12"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":2},""13"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":16},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":23},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":21},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":37},""animals"":{},""weeds"":0},""18"":{""crops"":{""STRAWBERRY"":35},""animals"":{},""weeds"":5},""19"":{""crops"":{""STRAWBERRY"":28},""animals"":{},""weeds"":2},""20"":{""crops"":{""STRAWBERRY"":36},""animals"":{},""weeds"":0},""21"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":0},""22"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""23"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":2},""24"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":3},""25"":{""crops"":{""STRAWBERRY"":39},""animals"":{},""weeds"":4},""26"":{""crops"":{""STRAWBERRY"":45},""animals"":{},""weeds"":1},""27"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":7},""28"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""29"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":4}},""harvest_units"":{""WHEAT"":120,""STRAWBERRY"":95},""sold_units"":{""WHEAT"":120,""STRAWBERRY"":91},""sales_revenue"":{""WHEAT"":3481,""STRAWBERRY"":18422},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":510,""HIRE"":2279,""BUY_SEED:STRAWBERRY"":11300},""idle_worker_actions"":896,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":41},""terminal_animals"":{},""terminal_weeds"":4,""terminal_cash"":9814.0,""opponent_terminal_cash"":138347.0}"
P1M0,B1,712609241,1,L,0.0,9814.0,138347.0,-128533.0,bc805d9e961e6043403bbe05f8a2c3435c39fa22c6f6c56cc2521ee9915fcbfc,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v3/replays/P1M0/B1/seed_712609241_seat_1.json.gz,904a2a19d7a7b0745965e6e08522cbc230fce510f6fbe5e62c551c4040ba8d71,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":45,""STRAWBERRY"":93},""peak_crop_count"":{""WHEAT"":18,""STRAWBERRY"":45},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":7},""animals"":{},""weeds"":1},""5"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""6"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""7"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""8"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":17},""animals"":{},""weeds"":1},""9"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":5},""animals"":{},""weeds"":5},""10"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":16},""animals"":{},""weeds"":1},""11"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":10},""animals"":{},""weeds"":3},""12"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":2},""13"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":16},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":23},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":21},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":37},""animals"":{},""weeds"":0},""18"":{""crops"":{""STRAWBERRY"":35},""animals"":{},""weeds"":5},""19"":{""crops"":{""STRAWBERRY"":28},""animals"":{},""weeds"":2},""20"":{""crops"":{""STRAWBERRY"":36},""animals"":{},""weeds"":0},""21"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":0},""22"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""23"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":2},""24"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":3},""25"":{""crops"":{""STRAWBERRY"":39},""animals"":{},""weeds"":4},""26"":{""crops"":{""STRAWBERRY"":45},""animals"":{},""weeds"":1},""27"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":7},""28"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""29"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":4}},""harvest_units"":{""WHEAT"":120,""STRAWBERRY"":95},""sold_units"":{""WHEAT"":120,""STRAWBERRY"":91},""sales_revenue"":{""WHEAT"":3481,""STRAWBERRY"":18422},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":510,""HIRE"":2279,""BUY_SEED:STRAWBERRY"":11300},""idle_worker_actions"":896,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":41},""terminal_animals"":{},""terminal_weeds"":4,""terminal_cash"":9814.0,""opponent_terminal_cash"":138347.0}"
P1M1,B1,712609241,0,L,0.0,9824.0,138347.0,-128523.0,878c53f29872930835aa6e9bf25c47afd2a073878d7f158a67d24983a270002f,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v3/replays/P1M1/B1/seed_712609241_seat_0.json.gz,121eba7e5038361920cd00cd396056d31ceed935fbd964f17e0be13ac95ba98b,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":45,""STRAWBERRY"":93},""peak_crop_count"":{""WHEAT"":18,""STRAWBERRY"":45},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":7},""animals"":{},""weeds"":1},""5"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""6"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""7"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""8"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":17},""animals"":{},""weeds"":1},""9"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":5},""animals"":{},""weeds"":5},""10"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":16},""animals"":{},""weeds"":1},""11"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":10},""animals"":{},""weeds"":3},""12"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":2},""13"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":16},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":23},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":21},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":37},""animals"":{},""weeds"":0},""18"":{""crops"":{""STRAWBERRY"":35},""animals"":{},""weeds"":5},""19"":{""crops"":{""STRAWBERRY"":28},""animals"":{},""weeds"":2},""20"":{""crops"":{""STRAWBERRY"":36},""animals"":{},""weeds"":0},""21"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":0},""22"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""23"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":2},""24"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":3},""25"":{""crops"":{""STRAWBERRY"":39},""animals"":{},""weeds"":4},""26"":{""crops"":{""STRAWBERRY"":45},""animals"":{},""weeds"":1},""27"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":7},""28"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""29"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":4}},""harvest_units"":{""WHEAT"":120,""STRAWBERRY"":95},""sold_units"":{""WHEAT"":120,""STRAWBERRY"":91},""sales_revenue"":{""WHEAT"":3491,""STRAWBERRY"":18422},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":510,""HIRE"":2279,""BUY_SEED:STRAWBERRY"":11300},""idle_worker_actions"":896,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":41},""terminal_animals"":{},""terminal_weeds"":4,""terminal_cash"":9824.0,""opponent_terminal_cash"":138347.0}"
P1M1,B1,712609241,1,L,0.0,9824.0,138347.0,-128523.0,878c53f29872930835aa6e9bf25c47afd2a073878d7f158a67d24983a270002f,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v3/replays/P1M1/B1/seed_712609241_seat_1.json.gz,47cef2e58150b76c836eedfe8e33fab92dc224ed131ded44dafd163a344f830f,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":45,""STRAWBERRY"":93},""peak_crop_count"":{""WHEAT"":18,""STRAWBERRY"":45},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":7},""animals"":{},""weeds"":1},""5"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""6"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""7"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":18},""animals"":{},""weeds"":1},""8"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":17},""animals"":{},""weeds"":1},""9"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":5},""animals"":{},""weeds"":5},""10"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":16},""animals"":{},""weeds"":1},""11"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":10},""animals"":{},""weeds"":3},""12"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":2},""13"":{""crops"":{""STRAWBERRY"":16,""WHEAT"":9},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":16},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":23},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":21},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":37},""animals"":{},""weeds"":0},""18"":{""crops"":{""STRAWBERRY"":35},""animals"":{},""weeds"":5},""19"":{""crops"":{""STRAWBERRY"":28},""animals"":{},""weeds"":2},""20"":{""crops"":{""STRAWBERRY"":36},""animals"":{},""weeds"":0},""21"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":0},""22"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""23"":{""crops"":{""STRAWBERRY"":43},""animals"":{},""weeds"":2},""24"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":3},""25"":{""crops"":{""STRAWBERRY"":39},""animals"":{},""weeds"":4},""26"":{""crops"":{""STRAWBERRY"":45},""animals"":{},""weeds"":1},""27"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":7},""28"":{""crops"":{""STRAWBERRY"":42},""animals"":{},""weeds"":2},""29"":{""crops"":{""STRAWBERRY"":41},""animals"":{},""weeds"":4}},""harvest_units"":{""WHEAT"":120,""STRAWBERRY"":95},""sold_units"":{""WHEAT"":120,""STRAWBERRY"":91},""sales_revenue"":{""WHEAT"":3491,""STRAWBERRY"":18422},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":510,""HIRE"":2279,""BUY_SEED:STRAWBERRY"":11300},""idle_worker_actions"":896,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":41},""terminal_animals"":{},""terminal_weeds"":4,""terminal_cash"":9824.0,""opponent_terminal_cash"":138347.0}"
