arm,games,wins,our_cash,opponent_cash,margin,delta_vs_c0,action_changes
a2,32,23.0,90349.53125,85883.03125,4466.5,-3096.78125,850
a2_keep,32,30.0,91213.21875,83649.9375,7563.28125,0.0,0
a2_nonlearned,32,20.0,89540.03125,88635.9375,904.09375,-6659.1875,3373
b1,32,30.0,91212.96875,83648.78125,7564.1875,0.90625,46
b2,32,28.0,91033.0625,83779.59375,7253.46875,-309.8125,122
b2_frequency,32,28.0,91033.78125,83779.09375,7254.6875,-308.59375,114
b_simple,32,28.0,91033.78125,83779.09375,7254.6875,-308.59375,114
c0,32,30.0,91213.21875,83649.9375,7563.28125,0.0,0
