job,games,sum_terminal_delta,mean_terminal_delta
COLLECT_CARE,14,0.0,0.0
COLLECT_DROP,6,-73508.0,-12251.333333333334
FERTILIZE_WATER,12,-25589.0,-2132.4166666666665
