arm,opponent,family,seed,seat,baseline_result,candidate_result,baseline_score,candidate_score,baseline_self_cash,candidate_self_cash,baseline_opp_cash,candidate_opp_cash,delta_score,delta_self,delta_opp,delta_margin,execution_valid,completion_status,fullgame_followup,transition,candidate_replay,baseline_replay
M1_deadline_market,order_book,near_lineage,812609252,0,W,L,1.0,0.0,101166.0,100783.0,100688.0,100851.0,-1.0,-383.0,163.0,-546.0,False,DEADLINE_UNFILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609252_seat_0.json.gz
M1_deadline_market,order_book,near_lineage,812609252,1,W,L,1.0,0.0,101166.0,100783.0,100688.0,100851.0,-1.0,-383.0,163.0,-546.0,False,DEADLINE_UNFILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609252_seat_1.json.gz
M1_deadline_market,order_book,near_lineage,812609253,0,W,L,1.0,0.0,109282.0,109500.0,109204.0,109540.0,-1.0,218.0,336.0,-118.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609253_seat_0.json.gz
M1_deadline_market,order_book,near_lineage,812609253,1,W,L,1.0,0.0,109282.0,109500.0,109204.0,109540.0,-1.0,218.0,336.0,-118.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609253_seat_1.json.gz
M1_deadline_market,order_book,near_lineage,812609254,0,L,L,0.0,0.0,83244.0,82899.0,86532.0,88444.0,0.0,-345.0,1912.0,-2257.0,False,DEADLINE_UNFILLED,True,L->L,metrics/development/replays/M1_deadline_market/order_book/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609254_seat_0.json.gz
M1_deadline_market,order_book,near_lineage,812609254,1,W,W,1.0,1.0,86632.0,86163.0,82957.0,83242.0,0.0,-469.0,285.0,-754.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/order_book/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609254_seat_1.json.gz
M1_deadline_market,metav4,near_lineage,812609251,0,W,L,1.0,0.0,83011.0,82640.0,82415.0,83221.0,-1.0,-371.0,806.0,-1177.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/metav4/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609251_seat_0.json.gz
M1_deadline_market,metav4,near_lineage,812609251,1,W,L,1.0,0.0,83011.0,82640.0,82415.0,83221.0,-1.0,-371.0,806.0,-1177.0,True,DEADLINES_FILLED,True,W->L,metrics/development/replays/M1_deadline_market/metav4/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609251_seat_1.json.gz
M1_deadline_market,metav4,near_lineage,812609252,0,W,W,1.0,1.0,100856.0,100906.0,99986.0,100616.0,0.0,50.0,630.0,-580.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/metav4/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609252_seat_0.json.gz
M1_deadline_market,metav4,near_lineage,812609252,1,W,W,1.0,1.0,100856.0,100906.0,99986.0,100616.0,0.0,50.0,630.0,-580.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/metav4/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609252_seat_1.json.gz
M1_deadline_market,metav4,near_lineage,812609253,0,W,W,1.0,1.0,109589.0,109768.0,108982.0,109273.0,0.0,179.0,291.0,-112.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/metav4/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609253_seat_0.json.gz
M1_deadline_market,metav4,near_lineage,812609253,1,W,W,1.0,1.0,109589.0,109768.0,108982.0,109273.0,0.0,179.0,291.0,-112.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/metav4/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609253_seat_1.json.gz
M1_deadline_market,metav4,near_lineage,812609254,0,L,L,0.0,0.0,84091.0,83092.0,86158.0,88045.0,0.0,-999.0,1887.0,-2886.0,False,DEADLINE_UNFILLED,True,L->L,metrics/development/replays/M1_deadline_market/metav4/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609254_seat_0.json.gz
