panel,games,wins,draws,losses,mean_cash,mean_opponent,mean_margin,all_checks
development_panel_a0,8,0,0,8,1411.875,138675.25,-137263.375,True
development_panel_a1,8,0,0,8,648.25,146908.375,-146260.125,True
development_panel_a1_v2,8,0,0,8,648.25,146908.375,-146260.125,True
development_panel_a2,8,0,0,8,10302.625,139607.5,-129304.875,True
development_panel_a2_expanded64,64,0,0,64,9427.875,158997.625,-149569.75,True
development_panel_a2_v2,8,0,0,8,10787.75,139038.125,-128250.375,True
development_panel_a2_v2_expanded64,64,0,0,64,9604.546875,157465.671875,-147861.125,True
development_panel_a2_v3,8,0,0,8,10787.75,139038.125,-128250.375,True
