arm,opponent_id,opponent_family,seed,seat,baseline_result,candidate_result,transition,delta_points,delta_self_cash,delta_opp_cash,delta_margin,own_action_changed_decisions,own_field_changed_decisions,own_market_changed_decisions,opponent_action_changed_decisions,full_trajectory_identical
m11_robust_response,metav4,metav4,522609244,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609241,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609241,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609242,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609242,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609243,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609243,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609244,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,order_book,order_book,522609244,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609241,0,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609241,1,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609242,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609242,1,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609243,0,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609243,1,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609244,0,W,W,W->W,0.0,0.0,0.0,0.0,0,0,0,0,True
m11_robust_response,v57,public_router,522609244,1,L,L,L->L,0.0,0.0,0.0,0.0,0,0,0,0,True
m20_m11_final,B1,herd_safe,522609241,0,T,W,T->W,0.5,-67.0,-469.0,402.0,10,0,10,5,False
m20_m11_final,B1,herd_safe,522609241,1,T,W,T->W,0.5,-67.0,-469.0,402.0,10,0,10,5,False
m20_m11_final,B1,herd_safe,522609242,0,T,W,T->W,0.5,-2.0,-5.0,3.0,1,0,1,0,False
m20_m11_final,B1,herd_safe,522609242,1,T,W,T->W,0.5,-2.0,-5.0,3.0,1,0,1,0,False
m20_m11_final,B1,herd_safe,522609243,0,T,L,T->L,-0.5,252.0,493.0,-241.0,27,4,23,28,False
m20_m11_final,B1,herd_safe,522609243,1,T,L,T->L,-0.5,252.0,493.0,-241.0,27,4,23,28,False
m20_m11_final,B1,herd_safe,522609244,0,W,W,W->W,0.0,281.0,-434.0,715.0,4,0,4,4,False
m20_m11_final,B1,herd_safe,522609244,1,L,W,L->W,1.0,281.0,-434.0,715.0,4,0,4,4,False
m20_m11_final,metav4,metav4,522609241,0,W,W,W->W,0.0,162.0,44.0,118.0,14,0,14,4,False
m20_m11_final,metav4,metav4,522609241,1,W,W,W->W,0.0,162.0,44.0,118.0,14,0,14,4,False
m20_m11_final,metav4,metav4,522609242,0,W,W,W->W,0.0,-2.0,-57.0,55.0,2,0,2,0,False
m20_m11_final,metav4,metav4,522609242,1,W,W,W->W,0.0,-2.0,-57.0,55.0,2,0,2,0,False
m20_m11_final,metav4,metav4,522609243,0,L,L,L->L,0.0,72.0,-74.0,146.0,3,0,3,0,False
m20_m11_final,metav4,metav4,522609243,1,L,L,L->L,0.0,72.0,-74.0,146.0,3,0,3,0,False
m20_m11_final,metav4,metav4,522609244,0,W,W,W->W,0.0,362.0,-425.0,787.0,6,0,6,5,False
m20_m11_final,metav4,metav4,522609244,1,W,W,W->W,0.0,362.0,-425.0,787.0,6,0,6,5,False
m20_m11_final,order_book,order_book,522609241,0,W,W,W->W,0.0,-67.0,-469.0,402.0,10,0,10,5,False
m20_m11_final,order_book,order_book,522609241,1,W,W,W->W,0.0,-67.0,-469.0,402.0,10,0,10,5,False
m20_m11_final,order_book,order_book,522609242,0,W,W,W->W,0.0,-2.0,-5.0,3.0,1,0,1,0,False
m20_m11_final,order_book,order_book,522609242,1,W,W,W->W,0.0,-2.0,-5.0,3.0,1,0,1,0,False
m20_m11_final,order_book,order_book,522609243,0,W,W,W->W,0.0,262.0,567.0,-305.0,27,4,23,21,False
m20_m11_final,order_book,order_book,522609243,1,W,W,W->W,0.0,262.0,567.0,-305.0,27,4,23,21,False
m20_m11_final,order_book,order_book,522609244,0,W,W,W->W,0.0,282.0,-437.0,719.0,4,0,4,4,False
m20_m11_final,order_book,order_book,522609244,1,W,W,W->W,0.0,282.0,-437.0,719.0,4,0,4,4,False
m20_m11_final,v57,public_router,522609241,0,L,W,L->W,1.0,227.0,-35.0,262.0,13,0,13,4,False
m20_m11_final,v57,public_router,522609241,1,L,W,L->W,1.0,227.0,-35.0,262.0,13,0,13,4,False
m20_m11_final,v57,public_router,522609242,0,W,W,W->W,0.0,-53.0,-140.0,87.0,4,0,4,0,False
m20_m11_final,v57,public_router,522609242,1,W,W,W->W,0.0,-53.0,-140.0,87.0,4,0,4,0,False
m20_m11_final,v57,public_router,522609243,0,L,L,L->L,0.0,71.0,-72.0,143.0,4,0,4,0,False
m20_m11_final,v57,public_router,522609243,1,L,L,L->L,0.0,71.0,-72.0,143.0,4,0,4,0,False
m20_m11_final,v57,public_router,522609244,0,W,W,W->W,0.0,368.0,-432.0,800.0,6,0,6,5,False
m20_m11_final,v57,public_router,522609244,1,L,W,L->W,1.0,368.0,-432.0,800.0,6,0,6,5,False
m20_multi_hypothesis,B1,herd_safe,522609241,0,T,W,T->W,0.5,-70.0,-457.0,387.0,9,0,9,5,False
m20_multi_hypothesis,B1,herd_safe,522609241,1,T,W,T->W,0.5,-70.0,-457.0,387.0,9,0,9,5,False
m20_multi_hypothesis,B1,herd_safe,522609242,0,T,W,T->W,0.5,-2.0,-5.0,3.0,1,0,1,0,False
m20_multi_hypothesis,B1,herd_safe,522609242,1,T,W,T->W,0.5,-2.0,-5.0,3.0,1,0,1,0,False
m20_multi_hypothesis,B1,herd_safe,522609243,0,T,L,T->L,-0.5,239.0,502.0,-263.0,28,4,24,29,False
m20_multi_hypothesis,B1,herd_safe,522609243,1,T,L,T->L,-0.5,239.0,502.0,-263.0,28,4,24,29,False
m20_multi_hypothesis,B1,herd_safe,522609244,0,W,W,W->W,0.0,275.0,-422.0,697.0,2,0,2,4,False
m20_multi_hypothesis,B1,herd_safe,522609244,1,L,W,L->W,1.0,275.0,-422.0,697.0,2,0,2,4,False
m20_multi_hypothesis,metav4,metav4,522609241,0,W,W,W->W,0.0,175.0,33.0,142.0,12,0,12,4,False
m20_multi_hypothesis,metav4,metav4,522609241,1,W,W,W->W,0.0,175.0,33.0,142.0,12,0,12,4,False
m20_multi_hypothesis,metav4,metav4,522609242,0,W,W,W->W,0.0,-2.0,-57.0,55.0,2,0,2,0,False
m20_multi_hypothesis,metav4,metav4,522609242,1,W,W,W->W,0.0,-2.0,-57.0,55.0,2,0,2,0,False
m20_multi_hypothesis,metav4,metav4,522609243,0,L,L,L->L,0.0,78.0,-78.0,156.0,2,0,2,0,False
m20_multi_hypothesis,metav4,metav4,522609243,1,L,L,L->L,0.0,78.0,-78.0,156.0,2,0,2,0,False
m20_multi_hypothesis,metav4,metav4,522609244,0,W,W,W->W,0.0,367.0,-430.0,797.0,4,0,4,5,False
m20_multi_hypothesis,metav4,metav4,522609244,1,W,W,W->W,0.0,367.0,-430.0,797.0,4,0,4,5,False
m20_multi_hypothesis,order_book,order_book,522609241,0,W,W,W->W,0.0,-70.0,-457.0,387.0,9,0,9,5,False
m20_multi_hypothesis,order_book,order_book,522609241,1,W,W,W->W,0.0,-70.0,-457.0,387.0,9,0,9,5,False
m20_multi_hypothesis,order_book,order_book,522609242,0,W,W,W->W,0.0,-2.0,-5.0,3.0,1,0,1,0,False
m20_multi_hypothesis,order_book,order_book,522609242,1,W,W,W->W,0.0,-2.0,-5.0,3.0,1,0,1,0,False
m20_multi_hypothesis,order_book,order_book,522609243,0,W,W,W->W,0.0,249.0,576.0,-327.0,28,4,24,22,False
m20_multi_hypothesis,order_book,order_book,522609243,1,W,W,W->W,0.0,249.0,576.0,-327.0,28,4,24,22,False
m20_multi_hypothesis,order_book,order_book,522609244,0,W,W,W->W,0.0,276.0,-425.0,701.0,2,0,2,4,False
m20_multi_hypothesis,order_book,order_book,522609244,1,W,W,W->W,0.0,276.0,-425.0,701.0,2,0,2,4,False
m20_multi_hypothesis,v57,public_router,522609241,0,L,W,L->W,1.0,224.0,-23.0,247.0,12,0,12,4,False
m20_multi_hypothesis,v57,public_router,522609241,1,L,W,L->W,1.0,224.0,-23.0,247.0,12,0,12,4,False
m20_multi_hypothesis,v57,public_router,522609242,0,W,W,W->W,0.0,-53.0,-140.0,87.0,4,0,4,0,False
m20_multi_hypothesis,v57,public_router,522609242,1,W,W,W->W,0.0,-53.0,-140.0,87.0,4,0,4,0,False
m20_multi_hypothesis,v57,public_router,522609243,0,L,L,L->L,0.0,78.0,-78.0,156.0,2,0,2,0,False
m20_multi_hypothesis,v57,public_router,522609243,1,L,L,L->L,0.0,78.0,-78.0,156.0,2,0,2,0,False
m20_multi_hypothesis,v57,public_router,522609244,0,W,W,W->W,0.0,366.0,-426.0,792.0,4,0,4,5,False
m20_multi_hypothesis,v57,public_router,522609244,1,L,W,L->W,1.0,366.0,-426.0,792.0,4,0,4,5,False
