arm,opponent_family,games,wins,draws,losses,mean_margin,mean_paired_score_delta_vs_c0
a2,qeinstein_moev2,2,2,0,0,20416.0,0.0
a2_keep,qeinstein_moev2,2,2,0,0,20416.0,0.0
a2_nonlearned,qeinstein_moev2,2,2,0,0,14913.0,0.0
b1,qeinstein_moev2,2,2,0,0,20412.0,0.0
b2,qeinstein_moev2,2,2,0,0,20115.0,0.0
b2_frequency,qeinstein_moev2,2,2,0,0,20117.0,0.0
b2_history_shuffle,qeinstein_moev2,2,2,0,0,20113.0,0.0
b_simple,qeinstein_moev2,2,2,0,0,20117.0,0.0
c0,qeinstein_moev2,2,2,0,0,20416.0,0.0
