subset,n,odds_ratio_v125,ci_low,ci_high,p
all,287,0.6176141838404312,0.34428293260508713,1.107947109647821,0.10605770973958847
opp1400+,226,0.5180693345796294,0.28685859968256644,0.9356381008928545,0.029217110951496456
opp1500+,173,0.54565040652823,0.2738284789584761,1.0873024138207765,0.08506372823205094
