group,item,games,quantity,quantity_per_game,revenue,revenue_per_game,weighted_price,floor_quantity,floor_percent
Top1,WHEAT,578,249850.0,432.2664359861592,9248847.0,16001.465397923876,37.01759855913548,0.0,0.0
Top1,CARROT,578,88611.0,153.30622837370242,4120944.0,7129.660899653979,46.506009411924026,0.0,0.0
Top1,TOMATO,578,38926.0,67.34602076124567,3355455.0,5805.285467128027,86.20086831423727,0.0,0.0
Top1,STRAWBERRY,578,123851.0,214.2750865051903,20154406.0,34869.21453287197,162.73107201395226,323.0,0.26079724830643275
Top1,MELON,578,41377.0,71.58650519031141,8019928.0,13875.307958477508,193.82574860429708,0.0,0.0
Top1,EGG,578,27565.0,47.69031141868512,1401484.0,2424.712802768166,50.84288046435697,0.0,0.0
Top1,MILK,578,121063.0,209.4515570934256,12592641.0,21786.576124567473,104.01725547855249,4731.0,3.9078826726580376
Top1,WOOL,578,79003.0,136.6833910034602,11896057.0,20581.413494809687,150.57728187537182,4306.0,5.4504259331924105
Top1,FERTILIZER,578,114081.0,197.3719723183391,6842767.0,11838.69723183391,59.9816533866288,1542.0,1.3516711810029716
Top3,WHEAT,151,44306.0,293.4172185430464,1740320.0,11525.298013245034,39.27955581636799,0.0,0.0
Top3,CARROT,151,18956.0,125.5364238410596,987421.0,6539.211920529801,52.090156151086724,0.0,0.0
Top3,TOMATO,151,14072.0,93.19205298013244,1166777.0,7727.0,82.91479533826038,0.0,0.0
Top3,STRAWBERRY,151,28314.0,187.50993377483445,4622897.0,30615.2119205298,163.27248004520732,37.0,0.13067740340467612
Top3,MELON,151,13839.0,91.64900662251655,2331199.0,15438.403973509934,168.45140544837054,0.0,0.0
Top3,EGG,151,23448.0,155.28476821192052,1165099.0,7715.887417218543,49.688630160354826,0.0,0.0
Top3,MILK,151,27454.0,181.81456953642385,3397133.0,22497.56953642384,123.73909084286443,329.0,1.198368179500255
Top3,WOOL,151,24761.0,163.98013245033113,4234042.0,28040.01324503311,170.9964056378983,822.0,3.3197366826864827
Top3,FERTILIZER,151,40266.0,266.6622516556291,2046867.0,13555.41059602649,50.833631351512444,426.0,1.057964535836686
Top2,WHEAT,131,65485.0,499.8854961832061,2354494.0,17973.236641221374,35.95470718485149,0.0,0.0
Top2,CARROT,131,19212.0,146.65648854961833,901476.0,6881.496183206107,46.92254840724547,0.0,0.0
Top2,TOMATO,131,8553.0,65.29007633587786,700709.0,5348.923664122138,81.92552320823103,0.0,0.0
Top2,STRAWBERRY,131,27310.0,208.4732824427481,3928082.0,29985.358778625956,143.83310142804834,120.0,0.43939948736726475
Top2,MELON,131,9282.0,70.85496183206106,1758757.0,13425.625954198473,189.48039215686273,19.0,0.20469726352079293
Top2,EGG,131,8830.0,67.40458015267176,453075.0,3458.587786259542,51.31087202718007,0.0,0.0
Top2,MILK,131,25327.0,193.33587786259542,2695987.0,20580.053435114503,106.44715126149958,608.0,2.4006001500375094
Top2,WOOL,131,19779.0,150.98473282442748,2980600.0,22752.67175572519,150.69518175843066,780.0,3.9435765205521007
Top2,FERTILIZER,131,26491.0,202.22137404580153,1540717.0,11761.198473282442,58.16001660941452,472.0,1.78173719376392
v124,WHEAT,157,59982.0,382.0509554140127,2350941.0,14974.146496815287,39.19410823246974,0.0,0.0
v124,CARROT,157,13818.0,88.01273885350318,818723.0,5214.796178343949,59.250470400926325,0.0,0.0
v124,TOMATO,157,1595.0,10.159235668789808,290275.0,1848.8853503184714,181.99059561128527,0.0,0.0
v124,STRAWBERRY,157,38284.0,243.84713375796179,4724528.0,30092.535031847136,123.40737644969178,4875.0,12.733779124438408
v124,MELON,157,11168.0,71.13375796178345,2267064.0,14439.898089171975,202.9964183381089,0.0,0.0
v124,EGG,157,9953.0,63.394904458598724,542284.0,3454.0382165605097,54.48447704209786,0.0,0.0
v124,MILK,157,35389.0,225.40764331210192,3086890.0,19661.71974522293,87.22738704117099,6390.0,18.05645822148125
v124,WOOL,157,26305.0,167.54777070063693,2985999.0,19019.101910828027,113.51450294620794,8369.0,31.81524425014256
v124,FERTILIZER,157,53391.0,340.0700636942675,2362010.0,15044.649681528663,44.23985315877208,4779.0,8.950946788784627
v125,WHEAT,130,50439.0,387.9923076923077,1992781.0,15329.084615384616,39.508733321437774,0.0,0.0
v125,CARROT,130,11732.0,90.24615384615385,657324.0,5056.338461538461,56.02829867030344,0.0,0.0
v125,TOMATO,130,1117.0,8.592307692307692,186281.0,1432.9307692307693,166.769024171889,0.0,0.0
v125,STRAWBERRY,130,31846.0,244.96923076923076,3898144.0,29985.723076923077,122.40607925642153,4250.0,13.345475098913521
v125,MELON,130,9262.0,71.24615384615385,1890529.0,14542.530769230769,204.11671345281798,0.0,0.0
v125,EGG,130,7732.0,59.47692307692308,421630.0,3243.3076923076924,54.53052250387998,0.0,0.0
v125,MILK,130,29127.0,224.05384615384617,2739255.0,21071.19230769231,94.04521577917396,4436.0,15.229855460569231
v125,WOOL,130,22380.0,172.15384615384616,2571058.0,19777.36923076923,114.88194816800716,6168.0,27.560321715817693
v125,FERTILIZER,130,44284.0,340.6461538461538,1928476.0,14834.430769230768,43.547917983921955,4202.0,9.48875440339626
