opponent_submission,group,n,wins,wr,margin,rating
56178720,v125,1,0,0.0,-6457.0,1663.0197247251904
56179412,v124,1,1,1.0,5498.0,1495.6432
56181391,v124,1,1,1.0,23933.0,1389.5559
56181433,v124,1,1,1.0,3027.0,1534.2513
56182891,v125,1,0,0.0,-1462.0,1632.457030877286
56182973,v125,1,0,0.0,-3431.0,1626.6022193927745
56183100,v124,1,1,1.0,13810.0,1603.1559
56183186,v124,1,1,1.0,2003.0,1641.606
56184560,v124,1,0,0.0,-1448.0,1708.8147
56184778,v125,1,0,0.0,-41578.0,1609.0711537052557
56184890,v124,1,1,1.0,8165.0,1358.7248
56186085,v124,1,1,1.0,21853.0,1459.166
56186468,v124,1,1,1.0,28339.0,1083.7554
56187487,v124,1,0,0.0,-2062.0,1721.6577
56188200,v125,1,1,1.0,7164.0,1459.747112357417
56188337,v125,1,1,1.0,6303.0,1591.8662876425594
56189378,v124,1,1,1.0,4071.0,1673.3625
56189471,v125,1,0,0.0,-9385.0,1693.90941017669
56191934,v124,1,1,1.0,13878.0,1621.1484
56194125,v124,1,1,1.0,17056.0,1586.7192
56197268,v124,2,0,0.0,-2071.5,1700.80315
56197783,v124,1,0,0.0,-20843.0,1507.6744
56199346,v124,1,0,0.0,-5515.0,1756.3235
56202148,v125,1,1,1.0,5742.0,1505.7092515178651
56203741,v124,1,0,0.0,-670.0,1651.3773
56203741,v125,1,1,1.0,1224.0,1632.4358723323862
56205336,v124,1,0,0.0,-667.0,1674.5518
56205872,v124,1,1,1.0,3343.0,1532.2375
56205885,v124,1,0,0.0,-5675.0,1725.1821
56207247,v124,1,0,0.0,-283.0,1598.965
56207928,v124,1,1,1.0,9931.0,1233.5354
56211203,v125,1,1,1.0,4906.0,1411.019846858907
56212527,v125,1,1,1.0,2742.0,1542.039006807128
56213805,v124,1,0,0.0,-6159.0,1771.9244
56215088,v124,1,0,0.0,-7492.0,1815.9945
56216103,v124,1,0,0.0,-10751.0,1826.7548
56217935,v125,1,1,1.0,2212.0,1574.6179613350655
56226000,v124,1,1,1.0,64600.0,569.2362
56226418,v124,1,1,1.0,32369.0,879.2372
56227367,v124,2,2,1.0,1429.5,1663.3577
56230346,v125,2,1,0.5,-767.0,1516.5694178202523
56231076,v124,1,1,1.0,5843.0,1469.296
56236772,v125,1,1,1.0,4277.0,1496.036575459222
56238058,v125,1,1,1.0,1817.0,1592.1758281399173
56239783,v124,1,1,1.0,1674.0,1640.012
56241510,v124,1,0,0.0,-177.0,1781.3602
56241510,v125,1,0,0.0,-3976.0,1738.3005418875111
56247714,v125,1,1,1.0,1371.0,1603.629895563611
56248129,v125,1,0,0.0,-28406.0,1606.2457991971964
56248257,v124,1,1,1.0,387.0,1723.0778
56249024,v124,1,1,1.0,74861.0,1410.7237
56249664,v125,1,1,1.0,15313.0,1579.4097980833496
56250819,v124,1,1,1.0,27762.0,858.7059
56251148,v125,1,0,0.0,-959.0,1535.7795618177731
56253611,v124,1,0,0.0,-194.0,1480.6062
56253867,v125,1,1,1.0,4171.0,1480.240778874669
56254244,v125,1,0,0.0,-3592.0,1641.582265516342
56255431,v124,1,1,1.0,6623.0,1640.3251
56255590,v124,1,0,0.0,-3108.0,1778.9094
56256865,v125,1,1,1.0,895.0,1570.663546895296
56257146,v124,1,1,1.0,34579.0,674.8104
56258472,v125,1,0,0.0,-3175.0,1645.4845077758011
56261783,v125,1,0,0.0,-1415.0,1697.6344980950114
56266187,v125,1,1,1.0,15900.0,1383.0213224515674
56268698,v124,1,0,0.0,-2086.0,1613.4721
56270905,v125,1,1,1.0,6516.0,1387.7916660167498
56272101,v124,1,0,0.0,-440.0,1687.652
56272114,v124,1,0,0.0,-11969.0,1629.2726
56274729,v124,1,1,1.0,3043.0,1567.67
56279901,v124,1,0,0.0,-587.0,1624.6445
56281269,v125,1,1,1.0,4785.0,1481.2165054975071
56281343,v124,1,1,1.0,22609.0,1557.3823
56281980,v124,1,0,0.0,-2433.0,1666.1521
56282222,v125,2,0,0.0,-997.5,1599.0781044054477
56283613,v124,1,0,0.0,-3246.0,1639.5968
56284502,v124,1,0,0.0,-4435.0,1523.5673
56284655,v124,1,1,1.0,2555.0,1474.1065
56285222,v124,1,1,1.0,1887.0,1489.4667
56288185,v125,1,0,0.0,-471.0,1480.9620956665124
56288473,v125,1,1,1.0,13713.0,1450.341668824639
56292569,v124,1,0,0.0,-4303.0,1574.778
56292883,v124,1,1,1.0,3098.0,1495.3159
56297464,v124,1,0,0.0,-14590.0,1637.8042
56300869,v125,1,1,1.0,4264.0,1582.933012271418
56300982,v124,1,1,1.0,5402.0,1640.0469
56300982,v125,1,1,1.0,4458.0,1604.436946651501
56304214,v125,1,1,1.0,3470.0,1574.0760331545416
56305566,v125,1,1,1.0,7636.0,1512.004275503595
56306497,v124,1,1,1.0,164.0,1743.3391
56311435,v124,1,1,1.0,82818.0,1761.2878
56311891,v125,1,1,1.0,14139.0,1181.2989486575068
56316341,v125,1,0,0.0,-5656.0,1622.9652649410275
56320375,v124,1,1,1.0,42105.0,823.6749
56322537,v125,1,0,0.0,-9120.0,1514.8917748397494
56325926,v124,1,1,1.0,6773.0,1635.1977
56329443,v125,1,1,1.0,22484.0,1299.7279080017026
56332387,v125,1,0,0.0,-1409.0,1691.7440926270783
56333392,v124,1,1,1.0,48564.0,805.0731
56334718,v124,1,0,0.0,-5046.0,1644.3372
56335941,v124,1,1,1.0,2125.0,1529.0056
56336852,v124,1,1,1.0,8524.0,1248.5693
56338365,v124,1,1,1.0,9905.0,1279.2762
56340323,v124,1,0,0.0,-394.0,1757.4463
56343492,v125,1,1,1.0,996.0,1254.912280173112
56345082,v125,1,0,0.0,-4248.0,1480.3201501215742
56345248,v124,1,0,0.0,-7069.0,1657.1433
56350163,v124,1,0,0.0,-10124.0,1643.2224
56351904,v125,1,1,1.0,1658.0,1483.963321971842
56351932,v124,1,1,1.0,1604.0,1719.1384
56352608,v125,1,0,0.0,-4653.0,1642.7201105073204
56353490,v124,1,1,1.0,2387.0,1724.0738
56356259,v124,1,0,0.0,-4805.0,1737.9219
56356362,v125,1,1,1.0,220.0,1314.8105791414314
56357279,v124,1,0,0.0,-9037.0,1084.2841
56357787,v124,1,0,0.0,-4823.0,1592.1521
56357789,v124,1,0,0.0,-5647.0,1570.4898
56358781,v124,1,0,0.0,-16866.0,1690.0602
56359376,v124,1,1,1.0,2769.0,1442.1887
56359502,v124,1,0,0.0,-5863.0,1841.7481
56359921,v124,1,0,0.0,-5592.0,1409.6108
56359970,v124,1,0,0.0,-25981.0,1578.9354
56360337,v124,1,0,0.0,-7730.0,878.4078
56360719,v124,1,0,0.0,-1853.0,1490.109
56361130,v124,1,1,1.0,14682.0,1538.473
56361263,v125,1,1,1.0,199.0,1476.4360260532126
56361303,v124,1,1,1.0,28455.0,1563.6423
56361303,v125,1,0,0.0,-10983.0,1559.2817901259095
56361543,v124,1,0,0.0,-13084.0,1490.5059
56361853,v124,1,0,0.0,-247.0,1591.8639
56362718,v124,1,0,0.0,-6369.0,1487.1776
56363013,v124,1,0,0.0,-5559.0,1579.1528
56363161,v124,1,1,1.0,1584.0,1537.9055
56363334,v124,1,1,1.0,3664.0,1566.1768
56364824,v124,1,0,0.0,-30612.0,1605.4965
56365602,v124,1,0,0.0,-3382.0,1717.3637
56369836,v124,1,1,1.0,6205.0,1597.2321
56370795,v125,1,1,1.0,17594.0,1482.8387200651755
56371565,v125,1,0,0.0,-4650.0,1681.218084526815
56371761,v124,1,0,0.0,-7041.0,1623.3618
56372161,v124,1,1,1.0,2453.0,1470.6552
56372435,v124,1,1,1.0,8460.0,1575.4725
56373325,v125,1,1,1.0,6830.0,1548.0443097403522
56373477,v125,1,0,0.0,-11515.0,1514.7899457956692
56373733,v124,1,1,1.0,380.0,1577.1457
56373788,v124,1,0,0.0,-3387.0,1595.2029
56374496,v124,1,0,0.0,-7030.0,1690.2298
56374831,v124,1,0,0.0,-14755.0,1505.7834
56375075,v124,1,0,0.0,-8567.0,1525.235
56375602,v125,1,0,0.0,-9478.0,1625.5329021237606
56376374,v125,1,0,0.0,-15967.0,1531.2721390534662
56384727,v125,1,0,0.0,-6023.0,1284.998685734673
56385038,v125,2,0,0.0,-4616.5,1535.0127759814
56386470,v125,1,0,0.0,-12305.0,1584.8963005097726
56386756,v125,1,0,0.0,-2732.0,1440.0656406130488
56387302,v125,1,0,0.0,-17369.0,1563.7442845078365
56387597,v125,1,0,0.0,-20306.0,1612.3725812765424
56389267,v125,1,0,0.0,-42356.0,1481.994566638829
56390378,v125,1,0,0.0,-6193.0,1602.3057233582851
56390670,v125,1,0,0.0,-6620.0,1534.3606644455344
56390690,v125,1,0,0.0,-21570.0,1659.5607591287023
56391698,v125,1,0,0.0,-6694.0,1659.5518656011288
