arm,opponent_id,seed,seat,result,self_final_cash,margin,max_workers,max_unlocked_quadrants,max_animals,hire_order_turns,buy_land_order_turns,first_wheat_day,max_wheat_tiles,day15_wheat_tiles,day18_wheat_tiles,day24_wheat_tiles,plant_wheat_actions,first_carrot_day,max_carrot_tiles,day15_carrot_tiles,day18_carrot_tiles,day24_carrot_tiles,plant_carrot_actions,first_tomato_day,max_tomato_tiles,day15_tomato_tiles,day18_tomato_tiles,day24_tomato_tiles,plant_tomato_actions,first_strawberry_day,max_strawberry_tiles,day15_strawberry_tiles,day18_strawberry_tiles,day24_strawberry_tiles,plant_strawberry_actions,first_melon_day,max_melon_tiles,day15_melon_tiles,day18_melon_tiles,day24_melon_tiles,plant_melon_actions
B1,v57,512609244,0,W,99568.0,75.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
B1,v57,512609244,1,W,99568.0,75.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609241,0,W,108492.0,89.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609241,1,W,108492.0,89.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609242,0,L,115042.0,-354.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609242,1,L,115042.0,-354.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609243,0,L,97194.0,-38.0,11,3,17,266,2,0,38,24,25,38,158,24,33,0,0,0,36,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609243,1,L,97194.0,-38.0,11,3,17,266,2,0,38,24,25,38,158,24,33,0,0,0,36,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609244,0,W,99555.0,17.0,12,3,17,281,2,0,41,24,25,38,163,25,30,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,B1,512609244,1,W,99555.0,17.0,12,3,17,281,2,0,41,24,25,38,163,25,30,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609241,0,W,109379.0,1110.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
