arm,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin,mean_delta_points_vs_b1,mean_delta_margin_vs_b1,loss_to_win,win_to_loss,tie_to_win,tie_to_loss,changed_games_vs_b1,changed_decisions_vs_b1,changed_field_decisions_vs_b1,changed_market_decisions_vs_b1,opponent_changed_decisions_vs_b1,trajectory_identical_games
B1,32,22,2,8,0.8125,105354.0,105032.25,321.75,0.0,0.0,0,0,0,0,0,0,0,0,0,0
master_hybrid,32,26,6,0,0.8125,105282.8125,105008.9375,273.875,0.0,-47.875,0,0,4,4,32,1114,132,1080,114,0
moon,32,22,10,0,0.6875,105356.4375,104495.25,861.1875,-0.125,539.4375,2,6,4,4,32,4002,238,3914,780,0
more_wheat,32,26,6,0,0.8125,105436.875,104844.0,592.875,0.0,271.125,0,0,4,4,32,296,66,230,212,0
order_book_v3,32,26,6,0,0.8125,105164.75,105032.5,132.25,0.0,-189.5,0,0,4,4,32,578,128,466,50,0
v15stack,32,22,10,0,0.6875,105216.125,104736.125,480.0,-0.125,158.25,2,8,6,2,32,2800,250,2702,588,0
wonderful,32,0,32,0,0.0,103985.5625,105503.4375,-1517.875,-0.8125,-1839.625,0,22,0,8,32,4836,1976,3392,964,0
