opponent,points_sum,points_mean,delta_points_vs_B1_sum,delta_points_vs_B1_mean,delta_points_vs_M20_sum,delta_points_vs_M20_mean,delta_margin_vs_B1_sum,delta_margin_vs_B1_mean,delta_self_vs_B1_sum,delta_self_vs_B1_mean,delta_opp_vs_B1_sum,delta_opp_vs_B1_mean
B1,29.0,0.6041666666666666,5.0,0.10416666666666667,-5.0,-0.10416666666666667,-478.0,-9.958333333333334,-742.0,-15.458333333333334,-264.0,-5.5
metav4,42.0,0.875,0.0,0.0,0.0,0.0,74.0,1.5416666666666667,126.0,2.625,52.0,1.0833333333333333
order_book,44.0,0.9166666666666666,-4.0,-0.08333333333333333,3.0,0.0625,-452.0,-9.416666666666666,-902.0,-18.791666666666668,-450.0,-9.375
v57,33.0,0.6875,1.0,0.020833333333333332,5.0,0.10416666666666667,64.0,1.3333333333333333,548.0,11.416666666666666,484.0,10.083333333333334
