arm,games,wins,losses,ties,score_rate,mean_self_cash,mean_opp_cash,mean_margin,mean_delta_points_vs_b1,mean_delta_margin_vs_b1,loss_to_win,win_to_loss,tie_to_win,tie_to_loss,changed_games_vs_b1,changed_decisions_vs_b1,changed_field_decisions_vs_b1,changed_market_decisions_vs_b1,opponent_changed_decisions_vs_b1,trajectory_identical_games
B1,32,18,8,6,0.65625,106476.4375,106391.0,85.4375,0.0,0.0,0,0,0,0,0,0,0,0,0,0
m11_final_response,32,22,8,2,0.71875,106476.1875,106387.75,88.4375,0.0625,3.0,0,0,4,0,24,36,0,36,0,8
m11_robust_response,32,18,8,6,0.65625,106476.4375,106391.0,85.4375,0.0,0.0,0,0,0,0,0,0,0,0,0,32
m20_m11_final,32,26,6,0,0.8125,106610.5625,106269.125,341.4375,0.15625,256.0,4,0,4,2,32,272,16,256,170,0
m20_multi_hypothesis,32,26,6,0,0.8125,106609.4375,106272.75,336.6875,0.15625,251.25,4,0,4,2,32,244,16,228,174,0
