from_arm,to_arm,paired_games,mean_margin_contribution,median_margin_contribution,lower_margin_contribution,win_count_contribution
control,service,16,-8740.3125,-2951.5,-25708.0,-6
service,fertilizer,16,6576.9375,434.5,-3621.0,4
fertilizer,joint,16,-7009.1875,-1581.0,-25477.0,-4
