arm,opponent,seed,seat,result,score,self_cash,opponent_cash,margin,agent_sha256,opponent_sha256,replay,replay_sha256,route_metrics_json,agent_telemetry_json
P0_ledger_only,B1,612609264,0,T,0.5,106501.0,106501.0,0.0,7db26e9f2cfa6b3e524b7b8e97164c2154ee728f6ea869613d4a798ca891f2b9,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/input_repairs_development/replays/P0_ledger_only/B1/seed_612609264_seat_0.json.gz,aa471f4ec4840ae6f7924909103c7e28bb9f8d0fb34034368d1f9025f1ecf586,"{""terminal_cash"":106501.0,""opponent_terminal_cash"":106501.0,""collection_skipped"":true}","{""ledger_finalized"":719,""ledger_errors"":0,""inference_exact"":0,""inference_censored"":0,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":0,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_ledger_only,B1,612609264,1,T,0.5,106501.0,106501.0,0.0,7db26e9f2cfa6b3e524b7b8e97164c2154ee728f6ea869613d4a798ca891f2b9,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/input_repairs_development/replays/P0_ledger_only/B1/seed_612609264_seat_1.json.gz,636c540cd55365e3bb833ea6c12f8d0274535799de08495ec536f50917f0b73d,"{""terminal_cash"":106501.0,""opponent_terminal_cash"":106501.0,""collection_skipped"":true}","{""ledger_finalized"":719,""ledger_errors"":0,""inference_exact"":0,""inference_censored"":0,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":0,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_ledger_only,v57,612609254,0,W,1.0,91761.0,90387.0,1374.0,7db26e9f2cfa6b3e524b7b8e97164c2154ee728f6ea869613d4a798ca891f2b9,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,metrics/input_repairs_development/replays/P0_ledger_only/v57/seed_612609254_seat_0.json.gz,83f613f11d481bb9ae4dbf2ee025e967e2783550b1e8a7fdd2bfd0d7b27380b0,"{""terminal_cash"":91761.0,""opponent_terminal_cash"":90387.0,""collection_skipped"":true}","{""ledger_finalized"":719,""ledger_errors"":0,""inference_exact"":0,""inference_censored"":0,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":0,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_ledger_only,v57,612609254,1,W,1.0,91761.0,90387.0,1374.0,7db26e9f2cfa6b3e524b7b8e97164c2154ee728f6ea869613d4a798ca891f2b9,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,metrics/input_repairs_development/replays/P0_ledger_only/v57/seed_612609254_seat_1.json.gz,adccfed0cbe8155c418bf5f446d30633303c60f9cb41720bafcfe78adf6bcb7a,"{""terminal_cash"":91761.0,""opponent_terminal_cash"":90387.0,""collection_skipped"":true}","{""ledger_finalized"":719,""ledger_errors"":0,""inference_exact"":0,""inference_censored"":0,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":0,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_ledger_only,v57,612609264,0,W,1.0,106502.0,106492.0,10.0,7db26e9f2cfa6b3e524b7b8e97164c2154ee728f6ea869613d4a798ca891f2b9,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,metrics/input_repairs_development/replays/P0_ledger_only/v57/seed_612609264_seat_0.json.gz,9d1b71be7cc62ae91f508c5e62f46b150f2b5731ed3f3c4355c51773be223d6b,"{""terminal_cash"":106502.0,""opponent_terminal_cash"":106492.0,""collection_skipped"":true}","{""ledger_finalized"":719,""ledger_errors"":0,""inference_exact"":0,""inference_censored"":0,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":0,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_ledger_only,v57,612609264,1,W,1.0,106502.0,106492.0,10.0,7db26e9f2cfa6b3e524b7b8e97164c2154ee728f6ea869613d4a798ca891f2b9,2ee689fdc58f38b7bf6b80b8d3f48129d19b47201dbee51fdcbd977498a5106f,metrics/input_repairs_development/replays/P0_ledger_only/v57/seed_612609264_seat_1.json.gz,782c1d4b038c9242c1face82029073dd9974cf82c31820291c9c3e64b480a829,"{""terminal_cash"":106502.0,""opponent_terminal_cash"":106492.0,""collection_skipped"":true}","{""ledger_finalized"":719,""ledger_errors"":0,""inference_exact"":0,""inference_censored"":0,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":0,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_censor_only,B1,612609254,0,T,0.5,91331.0,91331.0,0.0,7be881b6246c067b2afe46bfdd8e58d7ff744e77941c30b0f03cbb3d752bbf47,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/input_repairs_development/replays/P0_censor_only/B1/seed_612609254_seat_0.json.gz,112f86d649012c1fb47e7d1b641d00f6ca5412d5222abb511a46aa9dce932746,"{""terminal_cash"":91331.0,""opponent_terminal_cash"":91331.0,""collection_skipped"":true}","{""ledger_finalized"":0,""ledger_errors"":0,""inference_exact"":3535,""inference_censored"":53,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":2,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_censor_only,B1,612609254,1,T,0.5,91331.0,91331.0,0.0,7be881b6246c067b2afe46bfdd8e58d7ff744e77941c30b0f03cbb3d752bbf47,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/input_repairs_development/replays/P0_censor_only/B1/seed_612609254_seat_1.json.gz,425cf6e5a1bd41ebc460cb2378eb77f630699d7658e3f7f87f81851c08aa5eaa,"{""terminal_cash"":91331.0,""opponent_terminal_cash"":91331.0,""collection_skipped"":true}","{""ledger_finalized"":0,""ledger_errors"":0,""inference_exact"":3535,""inference_censored"":53,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":2,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_censor_only,B1,612609264,0,T,0.5,106501.0,106501.0,0.0,7be881b6246c067b2afe46bfdd8e58d7ff744e77941c30b0f03cbb3d752bbf47,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/input_repairs_development/replays/P0_censor_only/B1/seed_612609264_seat_0.json.gz,cc0a48ee0551272fdd9462c64d6513b3156f226ab41dd8b484c606a541ae8744,"{""terminal_cash"":106501.0,""opponent_terminal_cash"":106501.0,""collection_skipped"":true}","{""ledger_finalized"":0,""ledger_errors"":0,""inference_exact"":3562,""inference_censored"":25,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":3,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
P0_censor_only,B1,612609264,1,T,0.5,106501.0,106501.0,0.0,7be881b6246c067b2afe46bfdd8e58d7ff744e77941c30b0f03cbb3d752bbf47,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/input_repairs_development/replays/P0_censor_only/B1/seed_612609264_seat_1.json.gz,f98facb03d7370483572554bcd6ce26c4ff82831c9134897978cf62626e3a8f0,"{""terminal_cash"":106501.0,""opponent_terminal_cash"":106501.0,""collection_skipped"":true}","{""ledger_finalized"":0,""ledger_errors"":0,""inference_exact"":3562,""inference_censored"":25,""inference_lower_bound"":0,""inference_interval"":0,""inference_unknown"":3,""proposal_generated"":0,""candidate_different_from_baseline_final"":0,""candidate_survived_finalization"":0,""actual_fill_different"":0,""future_state_different"":0,""terminal_value_delta"":0,""selected_wait"":0,""selected_baseline"":0,""redundant_with_baseline"":0,""overwritten_during_finalization"":0,""guard_not_met"":0,""invalid_action"":0,""unfilled"":0,""no_value"":0,""undetermined"":0,""decisions"":[]}"
