arm,opponent,seed,seat,result,score,self_cash,opponent_cash,margin,agent_sha256,opponent_sha256,replay,replay_sha256,route_metrics_json
P1M0,B1,712609241,0,L,0.0,15873.0,199326.0,-183453.0,867426376e623dc3cc8b3c21f5a9f83ac01d47e50ba501ad5ea31467a4d2339a,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v5/replays/P1M0/B1/seed_712609241_seat_0.json.gz,dda1a9ae40c4e91fc2ebcd8db2b90393a8c4908447e4752218ef97dd29461f63,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":36,""STRAWBERRY"":50},""peak_crop_count"":{""WHEAT"":12,""STRAWBERRY"":32},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":1},""5"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":0},""6"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":0},""7"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":0},""8"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":7},""animals"":{},""weeds"":1},""9"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""10"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""11"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""12"":{""crops"":{""WHEAT"":9,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""13"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":2},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":8},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":28},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":30},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""18"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""19"":{""crops"":{""STRAWBERRY"":25},""animals"":{},""weeds"":4},""20"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""21"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""22"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""23"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""24"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""25"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""26"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""27"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""28"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""29"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1}},""harvest_units"":{""WHEAT"":132,""STRAWBERRY"":73},""sold_units"":{""WHEAT"":132,""STRAWBERRY"":68},""sales_revenue"":{""WHEAT"":3998,""STRAWBERRY"":16355},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":390,""HIRE"":990,""BUY_SEED:STRAWBERRY"":5100},""idle_worker_actions"":1457,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":32},""terminal_animals"":{},""terminal_weeds"":1,""terminal_cash"":15873.0,""opponent_terminal_cash"":199326.0}"
P1M0,B1,712609242,0,L,0.0,2119.0,159825.0,-157706.0,867426376e623dc3cc8b3c21f5a9f83ac01d47e50ba501ad5ea31467a4d2339a,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v5/replays/P1M0/B1/seed_712609242_seat_0.json.gz,382446da7b6d6131a04bb3f805110c5de81cf6db77fc3dc1f738072b7e72b4b9,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":38,""STRAWBERRY"":57},""peak_crop_count"":{""WHEAT"":12,""STRAWBERRY"":32},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":1},""5"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""6"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""7"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""8"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":8},""animals"":{},""weeds"":2},""9"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":1},""10"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":1},""11"":{""crops"":{""WHEAT"":11,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""12"":{""crops"":{""WHEAT"":6,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""13"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":2},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":2},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":27},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":27},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""18"":{""crops"":{""STRAWBERRY"":30},""animals"":{},""weeds"":3},""19"":{""crops"":{""STRAWBERRY"":29},""animals"":{},""weeds"":1},""20"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""21"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""22"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""23"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""24"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""25"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""26"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""27"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""28"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""29"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0}},""harvest_units"":{""WHEAT"":119,""STRAWBERRY"":79},""sold_units"":{""WHEAT"":119,""STRAWBERRY"":73},""sales_revenue"":{""WHEAT"":3043,""STRAWBERRY"":4496},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":430,""HIRE"":990,""BUY_SEED:STRAWBERRY"":6000},""idle_worker_actions"":1393,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":32},""terminal_animals"":{},""terminal_weeds"":0,""terminal_cash"":2119.0,""opponent_terminal_cash"":159825.0}"
P1M1,B1,712609241,0,L,0.0,15875.0,199326.0,-183451.0,ad56c972efea2d571757adb3fe88d186fc26dffddd6c3d6d4284351f516ffb3f,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v5/replays/P1M1/B1/seed_712609241_seat_0.json.gz,68f0745458b0be4e19521abda6e0c504215fb7a75a6544a18376d156b1836991,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":36,""STRAWBERRY"":50},""peak_crop_count"":{""WHEAT"":12,""STRAWBERRY"":32},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":1},""5"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":0},""6"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":0},""7"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":12},""animals"":{},""weeds"":0},""8"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":7},""animals"":{},""weeds"":1},""9"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""10"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""11"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""12"":{""crops"":{""WHEAT"":9,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""13"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":2},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":8},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":28},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":30},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""18"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""19"":{""crops"":{""STRAWBERRY"":25},""animals"":{},""weeds"":4},""20"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""21"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""22"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""23"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""24"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""25"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""26"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""27"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""28"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""29"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1}},""harvest_units"":{""WHEAT"":132,""STRAWBERRY"":73},""sold_units"":{""WHEAT"":132,""STRAWBERRY"":68},""sales_revenue"":{""WHEAT"":4000,""STRAWBERRY"":16355},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":390,""HIRE"":990,""BUY_SEED:STRAWBERRY"":5100},""idle_worker_actions"":1457,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":32},""terminal_animals"":{},""terminal_weeds"":1,""terminal_cash"":15875.0,""opponent_terminal_cash"":199326.0}"
P1M1,B1,712609242,0,L,0.0,2118.0,159806.0,-157688.0,ad56c972efea2d571757adb3fe88d186fc26dffddd6c3d6d4284351f516ffb3f,b6553c296c556aff5b5e2d12b75618e505fa4d852afb5338414ac6d6e039cb02,metrics/smoke_route_v5/replays/P1M1/B1/seed_712609242_seat_0.json.gz,3110b0b07b30e3ef3a292b35570e51f11501a1b1cabe3f777f154e98efbda075,"{""first_plant_day"":{""WHEAT"":0,""STRAWBERRY"":2},""plants_created"":{""WHEAT"":38,""STRAWBERRY"":57},""peak_crop_count"":{""WHEAT"":12,""STRAWBERRY"":32},""daily_terminal_predecision_counts"":{""0"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""1"":{""crops"":{""WHEAT"":9},""animals"":{},""weeds"":0},""2"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""3"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":9},""animals"":{},""weeds"":0},""4"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":1},""5"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""6"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""7"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""8"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":8},""animals"":{},""weeds"":2},""9"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":1},""10"":{""crops"":{""WHEAT"":12,""STRAWBERRY"":8},""animals"":{},""weeds"":1},""11"":{""crops"":{""WHEAT"":11,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""12"":{""crops"":{""WHEAT"":6,""STRAWBERRY"":8},""animals"":{},""weeds"":0},""13"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":2},""animals"":{},""weeds"":0},""14"":{""crops"":{""STRAWBERRY"":8,""WHEAT"":2},""animals"":{},""weeds"":0},""15"":{""crops"":{""STRAWBERRY"":27},""animals"":{},""weeds"":0},""16"":{""crops"":{""STRAWBERRY"":27},""animals"":{},""weeds"":2},""17"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""18"":{""crops"":{""STRAWBERRY"":30},""animals"":{},""weeds"":3},""19"":{""crops"":{""STRAWBERRY"":29},""animals"":{},""weeds"":1},""20"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""21"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":2},""22"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":1},""23"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""24"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""25"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""26"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""27"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""28"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0},""29"":{""crops"":{""STRAWBERRY"":32},""animals"":{},""weeds"":0}},""harvest_units"":{""WHEAT"":119,""STRAWBERRY"":79},""sold_units"":{""WHEAT"":119,""STRAWBERRY"":73},""sales_revenue"":{""WHEAT"":3043,""STRAWBERRY"":4495},""expenses"":{""BUY_LAND"":1000,""BUY_SEED:WHEAT"":430,""HIRE"":990,""BUY_SEED:STRAWBERRY"":6000},""idle_worker_actions"":1393,""drop_failures"":0,""terminal_crops"":{""STRAWBERRY"":32},""terminal_animals"":{},""terminal_weeds"":0,""terminal_cash"":2118.0,""opponent_terminal_cash"":159806.0}"
